Core Verbs
English,Japanese,Furigana,Example (EN),Example (JP)
to do,する,,I do my homework.,宿題をします。
to go,行く,いく,I go to school.,学校へ行きます。
to come,来る,くる,A friend comes.,友達が来ます。
to see; to watch,見る,みる,I watch TV.,テレビを見ます。
to hear; to listen,聞く,きく,I listen to music.,音楽を聞きます。
to speak; to talk,話す,はなす,I speak Japanese.,日本語を話します。
to eat,食べる,たべる,I eat bread.,パンを食べます。
to drink,飲む,のむ,I drink water.,水を飲みます。
to buy,買う,かう,I buy a book.,本を買います。
to give,あげる,,I give a present to my friend.,友達にプレゼントをあげます。
to have; to hold,持つ,もつ,I hold a bag.,かばんを持ちます。
to understand,分かる,わかる,I understand Japanese.,日本語が分かります。


Core Nouns
English,Japanese,Furigana,Example (EN),Example (JP)
book,本,ほん,I read a book.,本を読みます。
car,車,くるま,I go by car.,車で行きます。
phone,電話,でんわ,I make a phone call.,電話をします。
umbrella,かさ,,I carry an umbrella.,かさを持ちます。
key,かぎ,,I have a key.,かぎがあります。
bag,バッグ,,I carry a bag.,バッグを持ちます。
chair,いす,,I sit on a chair.,いすにすわります。
desk,机,つくえ,It is on the desk.,机の上です。


Core Adjectives
English,Japanese,Furigana,Example (EN),Example (JP)
good,いい,,This book is good.,この本はいいです。
bad,悪い,わるい,The weather is bad.,天気が悪いです。
expensive; tall,高い,たかい,This shop is expensive.,この店は高いです。
cheap,安い,やすい,This bread is cheap.,このパンは安いです。
hot (weather),暑い,あつい,It is hot today.,今日は暑いです。


Particles
English,Japanese,Furigana,Example (EN),Example (JP)
topic marker (wa),は,は,I am a student.,私は学生です。
object marker,を,を,I eat bread.,パンを食べます。
to; at,に,に,I go to school.,学校に行きます。
at; by,で,で,I go by train.,電車で行きます。
and; with,と,と,I go with a friend.,友達と行きます。


Time & Frequency
English,Japanese,Furigana,Example (EN),Example (JP)
now,今,いま,I am studying now.,今、勉強しています。
today,今日,きょう,Today is busy.,今日は忙しいです。
tomorrow,明日,あした,There is a test tomorrow.,明日テストがあります。
last week,先週,せんしゅう,I went to Japan last week.,先週日本に行きました。
this week,今週,こんしゅう,This week is busy.,今週は忙しいです。
every week,毎週,まいしゅう,I study Japanese every week.,毎週日本語を勉強します。
every month,毎月,まいつき,I call my family every month.,毎月家族に電話します。
weekend,週末,しゅうまつ,I rest on the weekend.,週末は休みます。


Days of the Week
English,Japanese,Furigana,Example (EN),Example (JP)
Monday,月曜日,げつようび,I go to school on Monday.,月曜日に学校へ行きます。
Tuesday,火曜日,かようび,Tuesday is busy.,火曜日は忙しいです。
Wednesday,水曜日,すいようび,There is a test on Wednesday.,水曜日にテストがあります。
Thursday,木曜日,もくようび,I meet my friend on Thursday.,木曜日に友達と会います。
Friday,金曜日,きんようび,Friday is fun.,金曜日は楽しいです。
Saturday,土曜日,どようび,I watch a movie on Saturday.,土曜日に映画を見ます。
Sunday,日曜日,にちようび,Sunday is a day off.,日曜日は休みです。


Numbers
English,Japanese,Furigana,Example (EN),Example (JP)
zero,零,ゼロ,I start from zero.,ゼロから始めます。
one,一,いち,There is one apple.,りんごが一つあります。
two,二,に,There are two people.,二人います。
three,三,さん,There are three books.,三冊の本があります。
four,四,よん,It is four o'clock.,四時です。
five,五,ご,There are five people.,五人います。
six,六,ろく,Please give me six.,六つください。
seven,七,なな,I wake up at seven.,七時に起きます。
eight,八,はち,There are eight people.,八人います。
nine,九,きゅう,It is nine o'clock.,九時です。
ten,十,じゅう,There are ten people.,十人います。


People & Pronouns
English,Japanese,Furigana,Example (EN),Example (JP)
I; me,私,わたし,I am a student.,私は学生です。
you,あなた,あなた,Are you a teacher?,あなたは先生ですか。
friend,友達,ともだち,I talk with a friend.,友達と話します。
teacher,先生,せんせい,I ask the teacher.,先生に聞きます。
student,学生,がくせい,I am a student.,学生です。


Greetings
English,Japanese,Furigana,Example (EN),Example (JP)
good morning,おはよう,,"Good morning, teacher.",おはよう、先生。
hello,こんにちは,,Hello!,こんにちは！
good evening,こんばんは,,Good evening.,こんばんは。
goodbye,さようなら,,"Goodbye, see you.",さようなら、またね。
thank you,ありがとう,,Thank you.,ありがとう。


Food & Drink
English,Japanese,Furigana,Example (EN),Example (JP)
rice; meal,ご飯,ごはん,I eat rice.,ご飯を食べます。
bread,パン,,I eat bread.,パンを食べます。
water,水,みず,I drink water.,水を飲みます。
tea,お茶,おちゃ,I drink tea.,お茶を飲みます。
meat,肉,にく,I eat meat.,肉を食べます。


Daily Life
English,Japanese,Furigana,Example (EN),Example (JP)
study,勉強,べんきょう,I study Japanese.,日本語を勉強します。
work,仕事,しごと,I work.,仕事をします。
rest; day off,休み,やすみ,Today is a day off.,今日は休みです。
shopping,買い物,かいもの,I go shopping.,買い物に行きます。
cooking,料理,りょうり,I cook.,料理をします。


Places (Basic)
English,Japanese,Furigana,Example (EN),Example (JP)
house; home,家,いえ,I go home.,家に帰ります。
school,学校,がっこう,I go to school.,学校に行きます。
store,店,みせ,I buy bread at the store.,店でパンを買います。
park,公園,こうえん,I play in the park.,公園で遊びます。
library,図書館,としょかん,I study at the library.,図書館で勉強します。


Transportation
English,Japanese,Furigana,Example (EN),Example (JP)
train,電車,でんしゃ,I go by train.,電車で行きます。
bus,バス,,I take the bus.,バスに乗ります。
car,車,くるま,I go to work by car.,車で会社に行きます。
bicycle,自転車,じてんしゃ,I go to school by bike.,自転車で学校に行きます。
to walk,歩く,あるく,I walk to the station.,駅まで歩きます。


Family
English,Japanese,Furigana,Example (EN),Example (JP)
father; dad (my),父,ちち,My father works at a company.,父は会社で働いています。
mother; mom (my),母,はは,My mother likes cooking.,母は料理が好きです。
older brother,兄,あに,My older brother is a university student.,兄は大学生です。
older sister,姉,あね,My older sister is a nurse.,姉は看護師です。
younger brother,弟,おとうと,My younger brother is a high school student.,弟は高校生です。
younger sister,妹,いもうと,My younger sister is cute.,妹はかわいいです。
family,家族,かぞく,I live with my family.,家族と住んでいます。


Descriptions
English,Japanese,Furigana,Example (EN),Example (JP)
hot (weather),暑い,あつい,It is hot today.,今日は暑いです。
cold,寒い,さむい,It is cold today.,今日は寒いです。
busy,忙しい,いそがしい,I am busy today.,今日は忙しいです。
fun,楽しい,たのしい,Japanese is fun.,日本語は楽しいです。
difficult,難しい,むずかしい,Kanji is difficult.,漢字は難しいです。


Location Words
English,Japanese,Furigana,Example (EN),Example (JP)
on; above,上,うえ,There is a book on the desk.,机の上に本があります。
under; below,下,した,There is a cat under the chair.,いすの下にねこがいます。
inside,中,なか,It is inside the bag.,かばんの中にあります。
near,近く,ちかく,It is near the station.,駅の近くです。
next to,隣,となり,There is a store next door.,隣に店があります。


Places (Advanced)
English,Japanese,Furigana,Example (EN),Example (JP)
bank,銀行,ぎんこう,I withdraw money at the bank.,銀行でお金を下ろします。
hospital,病院,びょういん,I go to the hospital.,病院に行きます。
pharmacy,薬局,やっきょく,I buy medicine at the pharmacy.,薬局で薬を買います。
gym,体育館,たいいくかん,I exercise in the gym.,体育館で運動します。
tennis court,テニスコート,,I play tennis at the tennis court.,テニスコートでテニスをします。


Hobbies
English,Japanese,Furigana,Example (EN),Example (JP)
movie,映画,えいが,I like watching movies.,映画を見るのが好きです。
music,音楽,おんがく,I listen to music.,音楽を聞きます。
travel,旅行,りょこう,I travel to Japan.,日本へ旅行します。
sports,スポーツ,,I like sports.,スポーツが好きです。
to read,読む,よむ,I read books.,本を読みます。


Weather
English,Japanese,Furigana,Example (EN),Example (JP)
rain,雨,あめ,It is raining today.,今日は雨です。
snow,雪,ゆき,It is snowing.,雪が降っています。
clear weather,晴れ,はれ,It is clear today.,今日は晴れです。
cloudy,曇り,くもり,Tomorrow will be cloudy.,明日は曇りです。
wind,風,かぜ,The wind is strong.,風が強いです。


School Life
English,Japanese,Furigana,Example (EN),Example (JP)
homework,宿題,しゅくだい,I do my homework.,宿題をします。
class,授業,じゅぎょう,I attend class.,授業に出ます。
test,テスト,,There is a test.,テストがあります。
study,勉強,べんきょう,I study Japanese.,日本語を勉強します。
textbook,教科書,きょうかしょ,I read the textbook.,教科書を読みます。


Money & Shopping
English,Japanese,Furigana,Example (EN),Example (JP)
money,お金,おかね,I have money.,お金があります。
expensive,高い,たかい,This camera is expensive.,このカメラは高いです。
cheap,安い,やすい,This store is cheap.,この店は安いです。
to buy,買う,かう,I buy clothes.,服を買います。
to sell,売る,うる,I sell books at the store.,店で本を売ります。


